Вакансия;Ссылка;Компания;З/П;Тип работы
Senior react-native developer;https://jobs.dev.by//vacancies/20584;UpsilonIT ;от $4499;Удалённо
Senior iOS developer;https://jobs.dev.by//vacancies/23450;iChoose.Best Inc. ;от $4000;Удалённо
Python developer / Python Data Engineer;https://jobs.dev.by//vacancies/20476;Flatlogic LLC ;от $3000;Удалённо
.NET/C# Developer Middle+ / Senior;https://jobs.dev.by//vacancies/23395;UNET.BY ;от $2500;Удалённо
Full-Stack Laravel Developer;https://jobs.dev.by//vacancies/23316;Allsports ;от $2400;Удалённо
Flutter Developer;https://jobs.dev.by//vacancies/23618;"ООО ""Твоя столица""";от $2200;В офисе
.NET fullstack разработчик;https://jobs.dev.by//vacancies/23393;100SOFT ;от $2000;Удалённо
Middle Golang developer;https://jobs.dev.by//vacancies/23451;iChoose.Best Inc. ;от $2000;Удалённо
.NET разработчик;https://jobs.dev.by//vacancies/22257;100SOFT ;от $2000;Удалённо
Junior AI/ML engineer;https://jobs.dev.by//vacancies/22776;Exelentex ;от $2000;Удалённо
PHP (Symfony)  Senior/ Middle Developer;https://jobs.dev.by//vacancies/21250;UNET.BY;от $1800;В офисе
Senior Circuit Design Engineer;https://jobs.dev.by//vacancies/23675;"ООО ""Альфа Орион""";от $1500;В офисе
Программист Delphi;https://jobs.dev.by//vacancies/23557;Профит ;от $1500;Удалённо
Android Developer;https://jobs.dev.by//vacancies/23401;ООО АЙЭМЛЭБ;от $1500;В офисе
Программист 1С;https://jobs.dev.by//vacancies/23558;Профит ;от $1500;Удалённо
Lead IT recruiter;https://jobs.dev.by//vacancies/22404;21vek.by ;от $1200;Удалённо
PHP-разработчик;https://jobs.dev.by//vacancies/23456;NEWLAND technology;от $1000;В офисе
Middle/Senior Backend Dev (server);https://jobs.dev.by//vacancies/23594;SoftHouse ;от $1000;Удалённо
начальник участка опытно-конструкторских работ и мелкосерийного производства;https://jobs.dev.by//vacancies/23440;НИИ ТЗИ;от $900;В офисе
Full-stack WordPress разработчик;https://jobs.dev.by//vacancies/19865;"WordPress development agency ""Seattleby"" ";от $700;Удалённо
HR Brand Marketing/Manager;https://jobs.dev.by//vacancies/23434;Flatlogic LLC;от $700;В офисе
Technical support engineer / System administrator / System Engineer;https://jobs.dev.by//vacancies/21953;Айти Эксперт (A3Cloud Solutions) ;от $700;Удалённо
Junior full stack developer;https://jobs.dev.by//vacancies/22960;Brokeree Solutions ;от $500;Удалённо
Junior Magento Developer;https://jobs.dev.by//vacancies/21930;Scandiweb Bel ;от $480;Удалённо
IOS Developer;https://jobs.dev.by//vacancies/23471;Team of the www.corpus.by project ;от $400;Удалённо
Customer Support agent;https://jobs.dev.by//vacancies/23692;Dream Support  ;от $400;Удалённо
Python Developer for AI, TTS, ASR, NLP projects;https://jobs.dev.by//vacancies/23473;Team of the www.corpus.by project ;от $390;Удалённо
Customer Support Specialist;https://jobs.dev.by//vacancies/23628;SpurIT ;от $300;Удалённо
Frontend developer (React) at Via;https://jobs.dev.by//vacancies/22177;On The Spot Development;не указанa;В офисе
Middle / Senior Backend QA Engineer at Tripledot Studios;https://jobs.dev.by//vacancies/23670;On The Spot Development;не указанa;В офисе
Frontend/Vue.js Developer;https://jobs.dev.by//vacancies/23685;FLLC SEAVUS ;не указанa;Удалённо
Custom Backend Developer;https://jobs.dev.by//vacancies/19836;SolbegSoft;не указанa;В офисе
Senior Test Automation Engineer - Games;https://jobs.dev.by//vacancies/22164;Globant ;не указанa;Удалённо
Python developer;https://jobs.dev.by//vacancies/22122;ОАО БПС-СБербанк ;не указанa;Удалённо
Senior QA Automation (Java);https://jobs.dev.by//vacancies/23711;IDT Belarus ;не указанa;Удалённо
